symbol,tier,name,intl,sector_vi,sector
ACB,tier1,ACB,Asia Commercial Joint Stock Bank,Ngân hàng,銀行
ANV,tier2,NAVICO,Nam Viet Corporation,Chế biến Thủy sản,水産加工
BAF,tier2,"BAF.,JSC",BAF Viet Nam Agriculture Joint Stock Company,Thực phẩm - Đồ uống,食品・飲料
BCM,tier2,Becamex Group,Becamex Investment and Industrial Development Group,Bất động sản,不動産
BID,tier1,BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,Ngân hàng,銀行
BMP,tier2,BM PLASCO,Binh Minh Plastics Joint Stock Company,SX Nhựa - Hóa chất,樹脂・化学
BSI,tier2,BSC,BIDV Securities Joint Stock Company,Chứng khoán,証券
BSR,tier1,BSR,Petrovietnam Refining and Petrochemical Company Ltd,SX Phụ trợ,部品・補助製造
BVH,tier2,Tập đoàn Bảo Việt,BaoViet Holdings,Bảo hiểm,保険
BWE,tier2,BIWASE,Binh Duong Water Enviroment Joint Stock Company,Tiện ích,電力・ガス・水道
CII,tier2,C.I.I,Ho Chi Minh City Infrastructure Investment Joint Stock Company,Xây dựng,建設
CMG,tier2,Tập đoàn Công nghệ CMC,CMC Corporation,Công nghệ và thông tin,IT・情報
CTD,tier2,COTECCONS,Coteccons Construction Joint Stock Company,Xây dựng,建設
CTG,tier1,VIETINBANK,Vietnam Joint Stock Commercial Bank For Industry And Trade,Ngân hàng,銀行
CTR,tier2,Viettel Construction,Viettel Construction Joint Stock Corporation,Công nghệ và thông tin,IT・情報
CTS,tier2,VBSE,Vietinbank Securities Joint Stock Company,Chứng khoán,証券
DBC,tier2,DABACO,DABACO Group,Thực phẩm - Đồ uống,食品・飲料
DCM,tier2,PVCFC,Petrovietnam Ca Mau Fertilizer Joint Stock Company,SX Nhựa - Hóa chất,樹脂・化学
DGW,tier2,Digiworld Corp,Digiworld Corp,Bán buôn,卸売
DIG,tier2,Tập đoàn DIC (DIC group),Development Investment Construction Joint Stock Corporation,Bất động sản,不動産
DPM,tier2,PVFCCo,Petrovietnam Fertilizer and Chemical Corporation,SX Nhựa - Hóa chất,樹脂・化学
DSE,tier2,DNSE JSC,DNSE Securities Joint Stock Company,Chứng khoán,証券
DXG,tier2,Bluemarq Group,Bluemarq Group Joint Stock Company,Bất động sản,不動産
DXS,tier2,DXS,Dat Xanh Real Estate Service Joint Stock Company,Bất động sản,不動産
EIB,tier2,EIB,Vietnam Export Import Commercial Joint Stock Bank,Ngân hàng,銀行
EVF,tier2,EVN Finance,EVN Finance Joint Stock Company,Ngân hàng,銀行
FPT,tier1,FPT CORP,FPT Corporation,Công nghệ và thông tin,IT・情報
FRT,tier2,FRT JSC,FPT DIGITAL RETAIL JOINT STOCK COMPANY,Bán lẻ,小売
FTS,tier2,FPTS,FPT Securities Joint Stock Company,Chứng khoán,証券
GAS,tier1,PV Gas,PetroVietnam Gas Joint Stock Corporation,Tiện ích,電力・ガス・水道
GEE,tier2,"Gelex Electric., JSC",Gelex Electricity Joint Stock Company,Thiết bị điện,電機
GEX,tier2,Tập đoàn GELEX,Gelex Group Joint Stock Company,Thiết bị điện,電機
GMD,tier2,Tập đoàn Gemadept,Gemadept Group Corporation,Vận tải - kho bãi,運輸・倉庫
GVR,tier1,VRG,Viet Nam Rubber Group,SX Nhựa - Hóa chất,樹脂・化学
HAG,tier2,HAGL,Hoang Anh Gia Lai Joint Stock Company,Nông - Lâm - Ngư,農林水産
HCM,tier2,HSC,Ho Chi Minh City Securities Corporation,Chứng khoán,証券
HDB,tier1,HDBANK,Ho Chi Minh City Development Joint Stock Commercial Bank,Ngân hàng,銀行
HDC,tier2,Hodeco,Ba Ria – Vung Tau House Development Joint Stock Company,Bất động sản,不動産
HDG,tier2,Ha Do Group,Ha Do Group Joint Stock Company,Bất động sản,不動産
HHV,tier2,DII,Deo Ca Traffic Infrastructure Investment Joint Stock Company,Xây dựng,建設
HPG,tier1,Hoa Phat Group,Hoa Phat Group Joint Stock Company,Vật liệu xây dựng,建材
HSG,tier2,Hoa Sen Group (HSG),Hoa Sen Group,Vật liệu xây dựng,建材
HT1,tier2,Vicem Ha tien  J.S.CO.,Vicem Ha Tien Cement Joint Stock Company,Vật liệu xây dựng,建材
IMP,tier2,Imexpharm,Imexpharm Corporation,Chăm sóc sức khỏe,ヘルスケア
KBC,tier2,Kinhbac City Group,Kinhbac City Development Holding Corporation,Bất động sản,不動産
KDC,tier2,KIDO GROUP,KIDO Group Corporation,Thực phẩm - Đồ uống,食品・飲料
KDH,tier2,KHADIHOUSE JSC,Khang Dien House Trading and Investment Joint Stock Company,Bất động sản,不動産
KOS,tier2,"KOSY., JSC",Kosy Joint Stock Company,Bất động sản,不動産
LPB,tier1,LPBank,Fortune Vietnam Joint Stock Commercial Bank,Ngân hàng,銀行
MBB,tier1,MB,Military Commercial Joint Stock Bank,Ngân hàng,銀行
MSB,tier2,MSB,Vietnam Maritime Commercial Joint Stock Bank,Ngân hàng,銀行
MSN,tier1,MASAN GROUP,Masan Group Corporation,Thực phẩm - Đồ uống,食品・飲料
MWG,tier1,MWI Corp,Mobile World Investment Corporation,Bán lẻ,小売
NAB,tier2,Nam A Bank,Nam A Commercial Joint Stock Bank,Ngân hàng,銀行
NKG,tier2,Nakisco,Nam Kim Steel Joint Stock Company,Vật liệu xây dựng,建材
NLG,tier2,NLG Corp,Nam Long Investment Corporation,Bất động sản,不動産
NT2,tier2,PV POWER NT2,PetroVietnam Power NhonTrach 2 Joint Stock Company,Tiện ích,電力・ガス・水道
NVL,tier2,Novaland Group Corp,NoVa Land Investment Group Corporation,Bất động sản,不動産
OCB,tier2,OCB,Orient Commercial Joint Stock Bank,Ngân hàng,銀行
PAN,tier2,The PAN Group,The PAN Group Joint Stock Company,Thực phẩm - Đồ uống,食品・飲料
PC1,tier2,PC1 Group,PC1 Group Joint Stock Company ,Xây dựng,建設
PDR,tier2,Công ty Cổ phần PTBĐS Phát Đạt,Phat Dat Real Estate Development Corporation,Bất động sản,不動産
PHR,tier2,PHURUCO,Phuoc Hoa Rubber Joint Stock Company,SX Nhựa - Hóa chất,樹脂・化学
PLX,tier1,Petrolimex,Vietnam National Petroleum Group,Bán buôn,卸売
PNJ,tier2,"PNJ., JSC",Phu Nhuan Jewelry Joint Stock Company,Bán lẻ,小売
POW,tier2,PV POWER,PetroVietnam Power Corporation,Tiện ích,電力・ガス・水道
PVD,tier2,PV DRILLING CORP,Petrovietnam Drilling and Well Services Corporation,Khai khoáng,鉱業
PVT,tier2,PV Trans Corp,Petrovietnam Transportation Corporation,Vận tải - kho bãi,運輸・倉庫
REE,tier2,REE CORP,Refrigeration Electrical Engineering Corporation,Xây dựng,建設
SAB,tier1,Sabeco,Saigon Beer - Alcohol - Beverage Corporation,Thực phẩm - Đồ uống,食品・飲料
SBT,tier2,TTC -BH,Thanh Thanh Cong - Bien Hoa Joint Stock Company,Thực phẩm - Đồ uống,食品・飲料
SCS,tier2,SCSC Corp,Saigon Cargo Service Corporation,Vận tải - kho bãi,運輸・倉庫
SHB,tier1,Sahabank,Saigon Hanoi Commercial Joint Stock Bank,Ngân hàng,銀行
SIP,tier2,SVRG CORP,Sai Gon VRG Investment Corporation,Tiện ích,電力・ガス・水道
SJS,tier2,SJ Group,SJ Group Joint Stock Company,Bất động sản,不動産
SSB,tier1,SeABank,Southeast Asia Commercial Joint Stock Bank,Ngân hàng,銀行
SSI,tier1,SSI,SSI Securities Corporation,Chứng khoán,証券
STB,tier1,Sacombank,Saigon Treasure Commercial Joint Stock Bank,Ngân hàng,銀行
SZC,tier2,SZC,Sonadezi Chau Duc Shareholding Company,Bất động sản,不動産
TCB,tier1,TECHCOMBANK,Vietnam Technological and Commercial Joint Stock Bank,Ngân hàng,銀行
TCH,tier2,TCH,Hoang Huy Investment Financial Services Joint Stock Company,Bất động sản,不動産
TPB,tier1,TPBank,Tien Phong Commercial Joint Stock Bank,Ngân hàng,銀行
VCB,tier1,Vietcombank,Joint Stock Commercial Bank For Foreign Trade Of Vietnam,Ngân hàng,銀行
VCG,tier2,"VINACONEX.,JSC",Vietnam Construction and Import - Export Joint Stock Corporation,Xây dựng,建設
VCI,tier2,Vietcap,Vietcap Securities Joint Stock Company,Chứng khoán,証券
